27,29,26,33,41,20,20,18
29,26,33,41,20,20,18,31
26,33,41,20,20,18,31,32
33,41,20,20,18,31,32,25
41,20,20,18,31,32,25,35
20,20,18,31,32,25,35,19
20,18,31,32,25,35,19,25
18,31,32,25,35,19,25,27
31,32,25,35,19,25,27,23
32,25,35,19,25,27,23,21
25,35,19,25,27,23,21,27
35,19,25,27,23,21,27,30
19,25,27,23,21,27,30,18
25,27,23,21,27,30,18,20
27,23,21,27,30,18,20,18
23,21,27,30,18,20,18,28
21,27,30,18,20,18,28,20
27,30,18,20,18,28,20,48
30,18,20,18,28,20,48,8
18,20,18,28,20,48,8,24
20,18,28,20,48,8,24,25
18,28,20,48,8,24,25,17
28,20,48,8,24,25,17,17
20,48,8,24,25,17,17,33
48,8,24,25,17,17,33,36
8,24,25,17,17,33,36,31
24,25,17,17,33,36,31,20
25,17,17,33,36,31,20,21
17,17,33,36,31,20,21,23
17,33,36,31,20,21,23,26
33,36,31,20,21,23,26,25
36,31,20,21,23,26,25,23
31,20,21,23,26,25,23,22
20,21,23,26,25,23,22,23
21,23,26,25,23,22,23,26
23,26,25,23,22,23,26,26
26,25,23,22,23,26,26,17
25,23,22,23,26,26,17,6
23,22,23,26,26,17,6,34
22,23,26,26,17,6,34,29
23,26,26,17,6,34,29,24
26,26,17,6,34,29,24,19
26,17,6,34,29,24,19,34
17,6,34,29,24,19,34,26
6,34,29,24,19,34,26,28
34,29,24,19,34,26,28,34
29,24,19,34,26,28,34,15
24,19,34,26,28,34,15,22
19,34,26,28,34,15,22,19
34,26,28,34,15,22,19,20
26,28,34,15,22,19,20,19
28,34,15,22,19,20,19,20
34,15,22,19,20,19,20,28
15,22,19,20,19,20,28,30
22,19,20,19,20,28,30,25
19,20,19,20,28,30,25,25
20,19,20,28,30,25,25,22
19,20,28,30,25,25,22,28
20,28,30,25,25,22,28,23
28,30,25,25,22,28,23,28
30,25,25,22,28,23,28,28
25,25,22,28,23,28,28,16
25,22,28,23,28,28,16,21
22,28,23,28,28,16,21,37
28,23,28,28,16,21,37,29
23,28,28,16,21,37,29,41
28,28,16,21,37,29,41,36
28,16,21,37,29,41,36,27
16,21,37,29,41,36,27,26
21,37,29,41,36,27,26,22
37,29,41,36,27,26,22,29
29,41,36,27,26,22,29,34
41,36,27,26,22,29,34,22
36,27,26,22,29,34,22,26
27,26,22,29,34,22,26,27
26,22,29,34,22,26,27,30
22,29,34,22,26,27,30,20
29,34,22,26,27,30,20,27
34,22,26,27,30,20,27,23
22,26,27,30,20,27,23,25
26,27,30,20,27,23,25,31
27,30,20,27,23,25,31,27
30,20,27,23,25,31,27,28
20,27,23,25,31,27,28,32
27,23,25,31,27,28,32,25
23,25,31,27,28,32,25,19
25,31,27,28,32,25,19,24
31,27,28,32,25,19,24,28
27,28,32,25,19,24,28,19
28,32,25,19,24,28,19,26
32,25,19,24,28,19,26,43
25,19,24,28,19,26,43,17
19,24,28,19,26,43,17,26
24,28,19,26,43,17,26,19
28,19,26,43,17,26,19,21
19,26,43,17,26,19,21,25
26,43,17,26,19,21,25,31
43,17,26,19,21,25,31,29
17,26,19,21,25,31,29,27
26,19,21,25,31,29,27,19
19,21,25,31,29,27,19,24
21,25,31,29,27,19,24,38
25,31,29,27,19,24,38,23
31,29,27,19,24,38,23,25
29,27,19,24,38,23,25,20
27,19,24,38,23,25,20,16
19,24,38,23,25,20,16,25
24,38,23,25,20,16,25,19
38,23,25,20,16,25,19,25
23,25,20,16,25,19,25,16
25,20,16,25,19,25,16,24
20,16,25,19,25,16,24,19
16,25,19,25,16,24,19,24
25,19,25,16,24,19,24,17
19,25,16,24,19,24,17,10
25,16,24,19,24,17,10,19
16,24,19,24,17,10,19,16
24,19,24,17,10,19,16,34
19,24,17,10,19,16,34,31
24,17,10,19,16,34,31,22
17,10,19,16,34,31,22,20
10,19,16,34,31,22,20,16
19,16,34,31,22,20,16,23
16,34,31,22,20,16,23,14
